IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmountTotal
35836,0,0.0081967213114754,D,7,4,32,60,B4,'Regular',681,R82,0.0
36106,0,0.02,B,4,3,36,50,B1,'Regular',90,R24,0.0
36281,0,0.09,B,5,4,35,85,B1,'Regular',82,R24,0.0
36423,0,0.02,A,6,4,32,57,B2,'Diesel',31,R43,0.0
39024,0,0.37,B,7,12,27,100,B1,'Regular',65,R24,0.0
39103,0,1.0,E,4,14,31,60,B5,'Regular',3368,R24,0.0
39147,0,0.33,C,7,14,33,50,B2,'Regular',286,R24,0.0
39299,0,0.09,D,7,13,34,95,B3,'Regular',1064,R24,0.0
39367,0,0.93,A,4,7,54,50,B2,'Regular',32,R24,0.0
39796,0,0.62,C,7,4,49,50,B2,'Regular',369,R73,0.0
40387,0,0.35,D,6,7,25,147,B1,'Diesel',745,R82,0.0
40429,0,0.16,D,6,12,33,95,B1,'Diesel',745,R82,0.0
40629,0,0.63,D,7,13,32,85,B2,'Regular',1323,R82,0.0
40708,0,0.01,D,7,6,48,50,B2,'Diesel',935,R91,0.0
40910,0,0.6,B,12,19,39,156,B11,'Regular',95,R82,0.0
41168,0,0.75,C,4,9,53,50,B5,'Regular',161,R82,0.0
41607,0,0.05,C,7,2,36,80,B2,'Diesel',190,R52,0.0
41619,0,1.0,D,7,15,31,90,B3,'Regular',510,R25,0.0
42110,0,0.28,D,8,2,50,50,B10,'Diesel',644,R53,0.0
42407,0,1.0,C,9,9,55,100,B11,'Regular',287,R53,0.0
42772,0,0.47,C,4,13,35,51,B6,'Regular',252,R73,0.0
42799,0,1.0,C,4,1,69,50,B4,'Regular',111,R24,0.0
42915,0,0.6,C,9,6,55,50,B1,'Regular',211,R72,0.0
43903,0,0.16,B,4,13,30,80,B1,'Regular',59,R52,0.0
44052,0,0.09,A,4,7,22,100,B1,'Regular',31,R24,0.0
44647,0,1.0,C,6,11,33,57,B3,'Diesel',133,R82,0.0
44958,1,1.0,E,6,3,79,50,B2,'Regular',2131,R82,1128.12
45066,0,1.0,E,6,8,32,57,B2,'Regular',9307,R82,0.0
45397,0,0.74,E,7,4,33,51,B1,'Diesel',5723,R82,0.0
45864,0,1.0,D,5,12,74,50,B5,'Regular',1601,R41,0.0
45877,0,1.0,C,10,1,42,50,B3,'Diesel',203,R41,0.0
45992,0,0.51,C,4,9,36,63,B5,'Regular',405,R41,0.0
46333,0,0.82,D,5,3,50,55,B5,'Regular',604,R41,0.0
46858,0,0.77,D,6,10,22,95,B1,'Regular',1054,R24,0.0
46959,0,0.54,A,4,3,23,72,B4,'Regular',18,R24,0.0
47212,0,0.69,A,7,9,22,80,B2,'Diesel',27,R24,0.0
47396,0,1.0,A,7,2,56,72,B2,'Regular',20,R24,0.0
47650,0,0.96,D,10,10,32,76,B2,'Regular',879,R82,0.0
47667,0,0.24,E,6,1,27,72,B3,'Diesel',2051,R82,0.0
47762,0,0.48,D,9,6,31,54,B1,'Regular',602,R82,0.0
47962,0,0.58,D,6,43,33,68,B2,'Diesel',1063,R82,0.0
48017,0,0.95,C,7,11,25,100,B5,'Diesel',101,R54,0.0
48026,0,1.0,A,10,10,46,50,B1,'Regular',21,R54,0.0
48077,0,0.51,D,7,6,21,80,B5,'Diesel',1265,R54,0.0
48378,0,0.65,C,12,3,42,50,B10,'Diesel',461,R53,0.0
48541,0,0.57,C,5,7,46,50,B1,'Regular',461,R53,0.0
48693,1,0.2,D,6,3,45,50,B3,'Regular',1165,R53,4982.77
48763,0,1.0,C,6,9,53,50,B1,'Diesel',461,R53,0.0
48782,0,0.98,C,4,12,53,50,B1,'Regular',461,R53,0.0
49201,0,0.96,D,10,1,60,50,B12,'Diesel',983,R52,0.0
50255,0,0.33,C,8,5,32,64,B2,'Diesel',404,R52,0.0
50349,0,0.13,D,10,14,58,50,B10,'Diesel',568,R52,0.0
50422,0,0.63,A,6,11,23,95,B1,'Regular',40,R52,0.0
50578,0,1.0,D,5,1,65,50,B2,'Diesel',1443,R11,0.0
51070,0,0.3,D,7,13,21,90,B1,'Regular',1129,R11,0.0
51217,0,0.14,E,6,13,32,85,B5,'Regular',6127,R11,0.0
51287,0,0.01,D,7,3,53,52,B1,'Diesel',1329,R11,0.0
51364,0,0.26,A,4,0,44,76,B12,'Regular',19,R24,0.0
51372,0,0.46,C,7,1,36,50,B5,'Regular',317,R11,0.0
51403,0,0.41,C,7,10,60,50,B1,'Regular',200,R11,0.0
51683,0,0.24,B,8,3,68,50,B3,'Diesel',53,R24,0.0
51867,0,0.96,A,9,8,30,54,B1,'Regular',49,R24,0.0
51874,0,1.0,A,5,11,57,50,B2,'Diesel',12,R24,0.0
51913,0,0.6,C,8,15,24,80,B11,'Regular',405,R24,0.0
52211,0,0.21,A,7,10,60,50,B6,'Regular',12,R24,0.0
52372,0,0.03,A,11,1,61,50,B12,'Regular',23,R24,0.0
52444,0,1.0,C,7,11,48,50,B2,'Diesel',405,R24,0.0
52660,0,1.0,A,7,4,79,70,B1,'Regular',48,R23,0.0
52696,0,0.04,C,8,0,24,72,B2,'Regular',145,R82,0.0
52843,0,0.7,A,6,10,52,59,B5,'Regular',20,R24,0.0
52859,0,0.83,A,7,10,51,50,B2,'Regular',27,R24,0.0
53285,0,1.0,A,6,23,43,50,B1,'Regular',27,R24,0.0
53421,0,0.58,A,6,0,48,50,B1,'Diesel',23,R24,0.0
53604,0,0.2,A,10,5,34,50,B3,'Diesel',32,R24,0.0
53671,0,1.0,B,7,6,31,67,B2,'Regular',50,R24,0.0
53794,0,0.52,C,6,13,22,95,B2,'Diesel',298,R24,0.0
54043,0,1.0,B,4,17,42,50,B2,'Regular',91,R24,0.0
54148,0,1.0,A,10,6,40,50,B12,'Diesel',34,R72,0.0
56100,0,0.26,D,6,2,28,54,B2,'Diesel',856,R82,0.0
56174,0,0.87,A,14,12,72,50,B1,'Regular',28,R82,0.0
56194,0,0.94,A,7,11,31,80,B1,'Regular',10,R82,0.0
56266,0,0.24,D,9,3,29,85,B11,'Regular',1321,R11,0.0
56466,0,0.08,D,7,13,48,50,B6,'Regular',1313,R24,0.0
56897,0,1.0,A,6,6,34,50,B1,'Diesel',48,R24,0.0
56936,0,1.0,F,4,2,45,85,B3,'Regular',13520,R11,0.0
57154,1,0.83,D,8,8,39,72,B13,'Diesel',747,R53,1128.12
57610,0,1.0,C,4,1,33,63,B2,'Diesel',473,R53,0.0
57688,0,0.43,C,5,3,53,62,B5,'Regular',125,R53,0.0
58175,0,0.75,A,7,15,51,50,B2,'Regular',27,R24,0.0
58247,0,0.41,A,6,16,43,50,B1,'Regular',11,R24,0.0
58548,0,0.3,E,5,16,37,54,B2,'Regular',2216,R93,0.0
58576,0,1.0,E,5,4,33,50,B3,'Diesel',4579,R93,0.0
58634,0,0.74,A,6,1,49,50,B1,'Diesel',3,R24,0.0
58956,0,1.0,A,7,5,24,140,B1,'Regular',44,R54,0.0
59074,0,0.28,C,9,12,58,50,B14,'Regular',417,R53,0.0
60119,0,0.02,A,10,8,30,80,B2,'Diesel',44,R31,0.0
60140,0,0.16,B,5,6,35,50,B3,'Diesel',78,R31,0.0
60158,0,1.0,A,6,25,58,50,B1,'Regular',41,R31,0.0
60329,0,0.33,A,5,0,22,80,B5,'Diesel',39,R31,0.0
60357,0,1.0,A,6,3,53,50,B1,'Diesel',22,R73,0.0
60817,0,0.2,F,4,17,22,90,B1,'Regular',27000,R11,0.0
60922,0,0.23,E,7,13,38,80,B2,'Diesel',3301,R73,0.0
60985,0,0.56,C,4,10,59,50,B3,'Regular',302,R41,0.0
61601,0,0.55,F,7,10,43,50,B2,'Diesel',10477,R11,0.0
61887,0,0.26,C,5,17,42,50,B2,'Regular',101,R72,0.0
62199,0,1.0,B,5,1,72,50,B2,'Regular',56,R72,0.0
62390,0,0.5,D,6,18,65,50,B3,'Regular',1110,R82,0.0
62467,0,1.0,E,7,3,36,50,B3,'Diesel',3430,R82,0.0
63085,0,0.36,E,5,1,66,50,B3,'Regular',4762,R93,0.0
63164,0,1.0,D,4,4,44,50,B2,'Regular',782,R93,0.0
63219,0,0.05,E,7,0,54,50,B3,'Regular',4762,R93,0.0
63417,0,0.11,D,8,8,30,56,B12,'Regular',682,R93,0.0
63762,0,0.41,E,8,9,54,50,B10,'Regular',3317,R93,0.0
63856,0,0.06,C,4,14,61,50,B1,'Regular',412,R73,0.0
63872,0,1.0,E,8,2,39,50,B11,'Regular',3317,R93,0.0
64043,0,1.0,D,6,18,41,50,B1,'Regular',609,R93,0.0
64074,1,1.0,E,4,9,36,50,B2,'Regular',3317,R93,4593.45
64362,0,0.03,C,6,3,31,67,B1,'Diesel',315,R82,0.0
64578,0,1.0,D,7,8,47,50,B4,'Regular',1704,R82,0.0
64701,1,1.0,C,5,12,59,50,B3,'Diesel',391,R82,2666.4
64735,1,1.0,B,7,7,43,50,B1,'Diesel',62,R82,166.63
64817,0,0.38,D,4,9,34,50,B2,'Diesel',1323,R82,0.0
64981,0,0.46,D,5,15,32,60,B3,'Regular',779,R82,0.0
65098,0,0.12,D,8,14,42,80,B2,'Regular',578,R82,0.0
65157,0,0.16,B,9,17,34,64,B3,'Regular',64,R82,0.0
65242,0,0.89,C,6,11,39,80,B2,'Diesel',256,R82,0.0
65534,0,0.05,D,4,15,22,95,B2,'Regular',1753,R82,0.0
65882,0,0.1,D,6,2,73,50,B2,'Diesel',1811,R73,0.0
65927,0,0.02,D,4,2,85,55,B6,'Regular',824,R91,0.0
66045,0,0.15,D,7,12,60,50,B11,'Diesel',1699,R91,0.0
66113,0,0.69,E,6,4,34,64,B6,'Diesel',2498,R72,0.0
66358,0,1.0,B,5,4,52,50,B2,'Diesel',96,R72,0.0
66717,1,1.0,D,7,8,32,50,B11,'Diesel',1601,R41,75.67
67666,0,0.54,D,7,14,51,95,B5,'Diesel',1326,R93,0.0
67687,0,1.0,D,7,5,47,50,B2,'Regular',1326,R93,0.0
67912,0,1.0,C,5,6,33,76,B1,'Regular',182,R82,0.0
68134,0,0.52,C,4,14,35,50,B1,'Regular',291,R82,0.0
68212,0,0.12,C,11,5,31,90,B1,'Regular',353,R82,0.0
68538,0,1.0,C,5,11,39,50,B5,'Diesel',104,R22,0.0
68616,0,0.71,E,7,12,41,85,B2,'Diesel',2740,R22,0.0
68635,0,0.32,D,7,0,40,50,B3,'Regular',930,R22,0.0
68706,0,0.5,E,5,4,27,76,B1,'Regular',2740,R22,0.0
69607,0,1.0,E,7,14,21,90,B5,'Regular',3374,R42,0.0
69670,0,1.0,E,5,2,55,69,B4,'Regular',3374,R42,0.0
70381,0,0.02,B,7,14,44,90,B2,'Diesel',100,R82,0.0
71285,0,0.6,C,7,2,26,50,B1,'Diesel',110,R31,0.0
71595,1,1.0,C,6,1,48,55,B2,'Diesel',185,R31,25152.45
72010,0,0.16,D,4,15,24,80,B1,'Regular',1313,R24,0.0
72205,0,1.0,E,6,2,62,50,B2,'Diesel',4128,R52,0.0
72307,0,0.36,C,10,15,47,50,B2,'Diesel',204,R52,0.0
72467,0,0.7,A,6,14,43,50,B1,'Regular',13,R24,0.0
72821,0,0.02,E,7,0,66,50,B13,'Diesel',4762,R93,0.0
73571,0,0.02,A,6,1,49,50,B2,'Regular',25,R54,0.0
73674,0,0.5,D,6,7,77,50,B2,'Diesel',798,R54,0.0
74294,0,0.47,D,5,0,67,50,B2,'Diesel',1313,R24,0.0
74657,0,1.0,C,6,2,53,50,B2,'Diesel',153,R41,0.0
75361,0,0.5,D,7,11,53,100,B2,'Regular',1191,R11,0.0
76116,0,1.0,E,4,10,51,50,B4,'Diesel',5449,R82,0.0
76485,0,0.12,D,6,9,21,95,B1,'Diesel',881,R54,0.0
76552,0,0.44,B,4,2,46,50,B6,'Regular',57,R54,0.0
76880,0,0.25,E,8,2,41,60,B10,'Diesel',2415,R82,0.0
77133,0,0.44,D,11,15,36,57,B1,'Regular',1466,R31,0.0
77175,0,1.0,D,7,6,74,50,B1,'Regular',783,R31,0.0
77377,0,1.0,D,5,5,80,50,B2,'Regular',1090,R31,0.0
77604,0,1.0,D,6,1,39,50,B1,'Diesel',1282,R31,0.0
78157,0,0.66,C,6,12,46,50,B3,'Regular',301,R73,0.0
78304,0,0.22,C,4,2,55,50,B1,'Regular',110,R73,0.0
78406,1,0.8,D,8,13,45,118,B12,'Regular',1313,R24,1128.12
78613,0,0.37,B,7,0,42,50,B1,'Diesel',66,R53,0.0
79250,0,0.14,E,6,3,25,80,B13,'Diesel',3430,R82,0.0
80149,0,0.5,A,10,14,42,50,B12,'Diesel',10,R24,0.0
80282,0,0.27,A,7,10,71,50,B2,'Regular',14,R24,0.0
80376,0,0.4,C,6,14,71,50,B2,'Regular',186,R24,0.0
80631,0,0.07,C,5,14,21,100,B4,'Regular',182,R72,0.0
80666,0,0.37,D,7,11,59,50,B2,'Regular',586,R41,0.0
80868,0,1.0,D,6,1,36,51,B12,'Regular',1601,R41,0.0
81192,0,0.06,B,6,12,19,100,B2,'Regular',60,R24,0.0
81613,0,0.59,A,5,0,65,50,B5,'Diesel',44,R24,0.0
81621,0,1.0,A,9,1,42,50,B4,'Diesel',44,R24,0.0
81623,0,0.24,A,5,7,47,57,B5,'Diesel',16,R24,0.0
81838,0,0.25,D,5,0,31,50,B3,'Regular',566,R93,0.0
82725,0,0.74,C,7,10,66,50,B2,'Regular',308,R24,0.0
82911,0,0.16,B,6,9,35,90,B1,'Diesel',90,R52,0.0
83085,0,0.11,D,6,0,32,50,B2,'Regular',713,R52,0.0
83166,0,1.0,E,6,18,40,50,B12,'Regular',3317,R93,0.0
83529,0,0.02,C,7,3,64,50,B2,'Regular',298,R24,0.0
83849,0,0.33,E,6,6,23,80,B1,'Diesel',3997,R11,0.0
84112,0,0.37,C,9,23,51,50,B10,'Regular',485,R74,0.0
84120,0,0.03,C,7,8,26,95,B11,'Diesel',213,R74,0.0
84220,0,1.0,A,7,8,46,50,B2,'Diesel',31,R52,0.0
84299,0,0.03,D,5,14,22,85,B2,'Regular',1408,R52,0.0
84499,0,1.0,C,7,7,29,50,B2,'Diesel',139,R52,0.0
85407,0,0.24,E,6,9,26,76,B1,'Regular',4172,R82,0.0
85474,0,1.0,E,6,14,21,85,B1,'Regular',4172,R82,0.0
85948,0,0.25,B,7,14,28,90,B10,'Diesel',94,R53,0.0
86446,0,0.29,D,6,8,19,95,B1,'Diesel',1326,R93,0.0
87039,1,1.0,C,6,4,37,50,B5,'Regular',116,R72,780.28
87121,0,0.98,C,5,4,58,50,B2,'Diesel',170,R72,0.0
87134,0,1.0,E,6,14,78,50,B2,'Regular',4348,R72,0.0
87235,0,0.62,C,4,13,26,90,B1,'Regular',369,R24,0.0
87968,0,1.0,E,7,15,62,50,B2,'Regular',3688,R82,0.0
88093,0,1.0,C,6,1,38,50,B1,'Diesel',270,R82,0.0
88331,0,0.04,C,7,11,54,85,B2,'Diesel',220,R24,0.0
88755,0,0.1,C,6,4,21,95,B2,'Diesel',111,R24,0.0
88984,0,0.06,B,4,9,51,72,B1,'Regular',75,R93,0.0
89048,0,0.33,E,9,12,49,50,B1,'Regular',3744,R93,0.0
89572,0,0.59,C,6,6,26,85,B1,'Diesel',171,R82,0.0
89775,0,0.09,B,5,13,19,100,B1,'Regular',58,R53,0.0
90441,0,1.0,C,6,15,19,90,B5,'Regular',227,R54,0.0
90459,0,0.36,C,7,9,31,51,B6,'Regular',110,R54,0.0
90651,0,0.3,C,4,0,51,50,B2,'Diesel',227,R54,0.0
90772,0,1.0,A,6,10,54,50,B4,'Regular',37,R25,0.0
90840,0,0.21,A,6,5,31,59,B2,'Diesel',47,R25,0.0
91216,0,1.0,C,5,2,34,50,B5,'Regular',138,R82,0.0
91377,0,0.81,C,5,9,87,50,B2,'Regular',452,R82,0.0
91667,0,0.27,D,7,11,20,50,B2,'Diesel',1704,R82,0.0
91699,0,0.12,C,8,5,57,82,B14,'Diesel',103,R82,0.0
91759,0,0.41,E,7,3,64,57,B3,'Regular',3132,R11,0.0
93400,0,0.81,D,4,9,33,50,B2,'Regular',1374,R82,0.0
93736,0,0.09,D,5,13,20,90,B1,'Regular',1002,R41,0.0
93828,0,1.0,D,4,5,37,50,B6,'Regular',1601,R41,0.0
93841,0,0.3,D,5,1,44,54,B3,'Regular',658,R93,0.0
93854,0,0.92,E,8,14,80,58,B2,'Regular',4762,R93,0.0
94081,0,1.0,D,5,19,77,50,B3,'Regular',730,R93,0.0
94614,0,0.2,C,7,0,18,100,B5,'Regular',226,R82,0.0
95309,0,0.41,B,9,14,33,68,B5,'Regular',56,R82,0.0
95351,0,1.0,E,8,1,39,62,B3,'Regular',9307,R82,0.0
95448,0,0.07,E,7,14,64,72,B2,'Regular',3657,R82,0.0
95496,0,0.16,E,7,6,41,57,B2,'Diesel',9307,R82,0.0
95933,0,0.69,C,7,16,44,50,B1,'Regular',155,R24,0.0
96543,0,0.08,A,5,11,36,50,B2,'Diesel',27,R83,0.0
97003,0,0.16,D,7,0,26,54,B1,'Regular',856,R24,0.0
97404,0,0.1,C,4,0,43,50,B1,'Regular',229,R53,0.0
97587,0,0.22,A,5,3,24,80,B2,'Regular',10,R24,0.0
98124,0,0.75,A,5,9,68,50,B3,'Regular',11,R24,0.0
98246,0,0.32,A,7,8,26,90,B5,'Regular',11,R24,0.0
99204,0,0.71,D,7,3,33,67,B1,'Diesel',1054,R24,0.0
99846,1,1.0,E,5,2,19,50,B2,'Diesel',3744,R93,1725.31
100189,0,0.15,E,5,6,27,80,B2,'Diesel',3103,R82,0.0
100482,0,0.09,E,6,2,50,50,B3,'Diesel',4348,R72,0.0
101170,0,0.46,E,5,0,36,50,B2,'Regular',2740,R22,0.0
101963,0,0.84,B,7,15,44,50,B12,'Regular',61,R72,0.0
103344,0,0.12,D,5,6,40,50,B2,'Regular',1601,R41,0.0
103539,0,0.39,C,7,16,42,50,B2,'Diesel',194,R93,0.0
103612,0,0.3,E,10,5,67,50,B10,'Diesel',3317,R93,0.0
103655,0,0.01,E,5,16,35,54,B1,'Diesel',9817,R11,0.0
103882,0,0.11,D,10,11,71,50,B2,'Regular',1609,R11,0.0
103934,0,0.07,B,5,12,18,100,B1,'Regular',82,R24,0.0
104476,0,1.0,C,7,18,87,50,B1,'Regular',357,R31,0.0
105077,0,1.0,E,5,15,52,50,B4,'Regular',4762,R93,0.0
105179,0,0.53,E,7,7,21,95,B2,'Regular',4762,R93,0.0
105267,0,0.45,E,5,0,79,50,B5,'Diesel',4762,R93,0.0
105572,0,0.22,A,9,1,48,50,B3,'Diesel',21,R72,0.0
105817,0,1.0,C,6,10,42,50,B2,'Diesel',149,R24,0.0
105885,0,0.75,A,7,3,27,57,B2,'Regular',12,R24,0.0
105911,0,0.92,C,4,7,50,50,B4,'Regular',111,R23,0.0
106617,0,0.1,E,7,4,47,76,B12,'Regular',4579,R93,0.0
